customer_id,name,member_type
C001,ศิริพร ม***,Student
C002,อนันต์ ร***,VIP
C003,กิตติ ว***,Student
C004,ศิริพร ส***,Student
C005,ชลธิชา เ***,VIP
C006,ศิริพร ส***,VIP
C007,ศิริพร ม***,General
C008,กมล ม***,VIP
C009,ณัฐพงษ์ ม***,VIP
C010,กิตติ ส***,VIP
C011,ชลธิชา ว***,Student
C012,สมชาย ส***,Student
C013,สมชาย ส***,Student
C014,สมชาย ว***,General
C015,ชลธิชา ร***,Student
C016,วิภา เ***,Student
C017,สมชาย เ***,VIP
C018,ชลธิชา ม***,VIP
C019,อนันต์ ม***,General
C020,วิภา เ***,Student
C021,ชลธิชา ส***,Student
C022,กมล เ***,General
C023,ณัฐพงษ์ ส***,General
C024,ณัฐพงษ์ ร***,VIP
C025,วิภา เ***,General
C026,กิตติ ส***,VIP
C027,กิตติ ใ***,Student
C028,สมชาย ร***,VIP
C029,ชลธิชา ส***,Student
C030,ศิริพร ส***,General
C031,อนันต์ ม***,Student
C032,ณัฐพงษ์ เ***,Student
C033,อนันต์ ส***,VIP
C034,นภา ม***,Student
C035,ชลธิชา ส***,Student
C036,ณัฐพงษ์ ม***,Student
C037,วิภา เ***,VIP
C038,กมล ใ***,VIP
C039,กมล เ***,Student
C040,วิภา ร***,Student
C041,ณัฐพงษ์ ม***,Student
C042,ชลธิชา เ***,General
C043,นภา ส***,Student
C044,ชลธิชา ว***,Student
C045,ศิริพร ว***,General
C046,อนันต์ ม***,Student
C047,กิตติ ใ***,General
C048,ธนกฤต ใ***,VIP
C049,กมล ว***,VIP
C050,วิภา ส***,General
C051,กิตติ ใ***,Student
C052,อนันต์ ม***,VIP
C053,ธนกฤต ใ***,Student
C054,นภา ม***,VIP
C055,นภา ส***,VIP
C056,ธนกฤต ใ***,VIP
C057,วิภา ว***,VIP
C058,ณัฐพงษ์ ส***,VIP
C059,วิภา ว***,General
C060,กิตติ ว***,Student
C061,ณัฐพงษ์ เ***,VIP
C062,ชลธิชา ร***,Student
C063,ธนกฤต ส***,Student
C064,ชลธิชา ส***,VIP
C065,ชลธิชา ว***,Student
C066,กมล ส***,General
C067,ชลธิชา ว***,General
C068,กิตติ ร***,Student
C069,ธนกฤต เ***,General
C070,นภา ส***,VIP
C071,ศิริพร ม***,General
C072,ศิริพร ส***,VIP
C073,นภา ว***,General
C074,อนันต์ ใ***,VIP
C075,ธนกฤต ส***,VIP
C076,กมล ส***,General
C077,กมล ม***,VIP
C078,สมชาย ส***,General
C079,ศิริพร ใ***,General
C080,สมชาย ว***,Student
