booking_id,customer_id,customer_name,member_type,movie_name,theater_no,seat_number,seat_type,price,status
BK001,C001,ศิริพร ม***,Student,Avatar 3,1,C9,Deluxe,160.0,Paid
BK002,C002,อนันต์ ร***,VIP,Inception,4,B7,Honeymoon,0.0,Cancelled
BK003,C003,กิตติ ว***,Student,Interstellar,5,C3,Honeymoon,0.0,Cancelled
BK004,C004,ศิริพร ส***,Student,Avatar 3,1,B7,Honeymoon,192.0,Paid
BK005,C005,ชลธิชา เ***,VIP,Spider-Man,2,D6,Normal,126.0,Paid
BK006,C006,ศิริพร ส***,VIP,Interstellar,5,D6,VIP,266.0,Paid
BK007,C007,ศิริพร ม***,General,Spider-Man,2,D8,Deluxe,220.0,Paid
BK008,C008,กมล ม***,VIP,Spider-Man,2,C5,Normal,126.0,Paid
BK009,C009,ณัฐพงษ์ ม***,VIP,Batman,3,F9,Deluxe,168.0,Paid
BK010,C010,กิตติ ส***,VIP,Inception,4,F6,Normal,119.0,Paid
BK011,C011,ชลธิชา ว***,Student,Batman,3,E2,VIP,0.0,Cancelled
BK012,C012,สมชาย ส***,Student,Interstellar,5,F3,Honeymoon,216.0,Paid
BK013,C013,สมชาย ส***,Student,Batman,3,F8,VIP,312.0,Paid
BK014,C014,สมชาย ว***,General,Avatar 3,1,F6,VIP,350.0,Paid
BK015,C015,ชลธิชา ร***,Student,Spider-Man,2,F7,Honeymoon,208.0,Paid
BK016,C016,วิภา เ***,Student,Inception,4,E5,VIP,0.0,Cancelled
BK017,C017,สมชาย เ***,VIP,Interstellar,5,C2,Honeymoon,189.0,Paid
BK018,C018,ชลธิชา ม***,VIP,Spider-Man,2,C5,Normal,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK019,C019,อนันต์ ม***,General,Spider-Man,2,B3,Honeymoon,260.0,Paid
BK020,C020,วิภา เ***,Student,Inception,4,F2,Honeymoon,200.0,Paid
BK021,C021,ชลธิชา ส***,Student,Spider-Man,2,D10,Deluxe,176.0,Paid
BK022,C022,กมล เ***,General,Avatar 3,1,D1,Deluxe,200.0,Paid
BK023,C023,ณัฐพงษ์ ส***,General,Interstellar,5,A4,Deluxe,0.0,Cancelled
BK024,C024,ณัฐพงษ์ ร***,VIP,Inception,4,E9,VIP,252.0,Paid
BK025,C025,วิภา เ***,General,Inception,4,E8,Normal,170.0,Paid
BK026,C026,กิตติ ส***,VIP,Batman,3,E3,VIP,273.0,Paid
BK027,C027,กิตติ ใ***,Student,Avatar 3,1,C9,VIP,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK028,C028,สมชาย ร***,VIP,Inception,4,C8,Honeymoon,175.0,Paid
BK029,C029,ชลธิชา ส***,Student,Avatar 3,1,C8,Deluxe,160.0,Paid
BK030,C030,ศิริพร ส***,General,Batman,3,D6,Honeymoon,280.0,Paid
BK031,C031,อนันต์ ม***,Student,Batman,3,F10,VIP,312.0,Paid
BK032,C032,ณัฐพงษ์ เ***,Student,Avatar 3,1,B6,Deluxe,160.0,Paid
BK033,C033,อนันต์ ส***,VIP,Avatar 3,1,C10,VIP,245.0,Paid
BK034,C034,นภา ม***,Student,Spider-Man,2,C7,Deluxe,176.0,Paid
BK035,C035,ชลธิชา ส***,Student,Interstellar,5,D1,Honeymoon,216.0,Paid
BK036,C036,ณัฐพงษ์ ม***,Student,Inception,4,E5,Normal,136.0,Paid
BK037,C037,วิภา เ***,VIP,Spider-Man,2,C4,VIP,259.0,Paid
BK038,C038,กมล ใ***,VIP,Spider-Man,2,A10,Deluxe,0.0,Cancelled
BK039,C039,กมล เ***,Student,Batman,3,D10,Honeymoon,224.0,Paid
BK040,C040,วิภา ร***,Student,Interstellar,5,F7,Honeymoon,216.0,Paid
BK041,C041,ณัฐพงษ์ ม***,Student,Inception,4,C1,Honeymoon,200.0,Paid
BK042,C042,ชลธิชา เ***,General,Interstellar,5,E8,Honeymoon,270.0,Paid
BK043,C043,นภา ส***,Student,Batman,3,E3,Normal,0.0,Rejected (ที่นั่ง E3 ถูกจองแล้ว (Double Booking))
BK044,C044,ชลธิชา ว***,Student,Inception,4,D8,Honeymoon,200.0,Paid
BK045,C045,ศิริพร ว***,General,Interstellar,5,E5,Honeymoon,0.0,Cancelled
BK046,C046,อนันต์ ม***,Student,Batman,3,A1,VIP,312.0,Paid
BK047,C047,กิตติ ใ***,General,Spider-Man,2,B8,VIP,370.0,Paid
BK048,C048,ธนกฤต ใ***,VIP,Batman,3,E4,Deluxe,0.0,Cancelled
BK049,C049,กมล ว***,VIP,Inception,4,C6,Honeymoon,0.0,Cancelled
BK050,C050,วิภา ส***,General,Spider-Man,2,E10,Normal,180.0,Paid
BK051,C051,กิตติ ใ***,Student,Avatar 3,1,D3,VIP,280.0,Paid
BK052,C052,อนันต์ ม***,VIP,Inception,4,A9,Honeymoon,175.0,Paid
BK053,C053,ธนกฤต ใ***,Student,Avatar 3,1,F10,Honeymoon,192.0,Paid
BK054,C054,นภา ม***,VIP,Interstellar,5,B8,Honeymoon,189.0,Paid
BK055,C055,นภา ส***,VIP,Inception,4,D9,Honeymoon,175.0,Paid
BK056,C056,ธนกฤต ใ***,VIP,Batman,3,C5,Honeymoon,196.0,Paid
BK057,C057,วิภา ว***,VIP,Avatar 3,1,E8,VIP,245.0,Paid
BK058,C058,ณัฐพงษ์ ส***,VIP,Batman,3,F7,Honeymoon,196.0,Paid
BK059,C059,วิภา ว***,General,Inception,4,E7,Normal,170.0,Paid
BK060,C060,กิตติ ว***,Student,Avatar 3,1,C1,VIP,280.0,Paid
BK061,C061,ณัฐพงษ์ เ***,VIP,Avatar 3,1,E9,Deluxe,140.0,Paid
BK062,C062,ชลธิชา ร***,Student,Inception,4,D3,VIP,288.0,Paid
BK063,C063,ธนกฤต ส***,Student,Interstellar,5,F7,VIP,0.0,Rejected (ที่นั่ง F7 ถูกจองแล้ว (Double Booking))
BK064,C064,ชลธิชา ส***,VIP,Avatar 3,1,E3,Honeymoon,168.0,Paid
BK065,C065,ชลธิชา ว***,Student,Batman,3,C3,VIP,312.0,Paid
BK066,C066,กมล ส***,General,Batman,3,A6,Normal,200.0,Paid
BK067,C067,ชลธิชา ว***,General,Spider-Man,2,E3,VIP,370.0,Paid
BK068,C068,กิตติ ร***,Student,Inception,4,E8,Deluxe,0.0,Rejected (ที่นั่ง E8 ถูกจองแล้ว (Double Booking))
BK069,C069,ธนกฤต เ***,General,Interstellar,5,A1,Honeymoon,270.0,Paid
BK070,C070,นภา ส***,VIP,Inception,4,B8,Normal,119.0,Paid
BK071,C071,ศิริพร ม***,General,Inception,4,F4,VIP,360.0,Paid
BK072,C072,ศิริพร ส***,VIP,Batman,3,E2,VIP,273.0,Paid
BK073,C073,นภา ว***,General,Inception,4,F3,Deluxe,210.0,Paid
BK074,C074,อนันต์ ใ***,VIP,Batman,3,F3,VIP,273.0,Paid
BK075,C075,ธนกฤต ส***,VIP,Spider-Man,2,F8,Honeymoon,182.0,Paid
BK076,C076,กมล ส***,General,Avatar 3,1,F7,Normal,0.0,Cancelled
BK077,C077,กมล ม***,VIP,Avatar 3,1,A10,Normal,112.0,Paid
BK078,C078,สมชาย ส***,General,Inception,4,B8,Honeymoon,0.0,Rejected (ที่นั่ง B8 ถูกจองแล้ว (Double Booking))
BK079,C079,ศิริพร ใ***,General,Batman,3,A3,Normal,200.0,Paid
BK080,C080,สมชาย ว***,Student,Batman,3,A4,Deluxe,192.0,Paid
BK081,C081,สมชาย ใ***,VIP,Interstellar,5,B4,VIP,266.0,Paid
BK082,C082,ธนกฤต ส***,General,Avatar 3,1,C6,Honeymoon,240.0,Paid
BK083,C083,กมล เ***,General,Inception,4,E9,VIP,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK084,C084,ชลธิชา ว***,Student,Spider-Man,2,D7,Normal,144.0,Paid
BK085,C085,ศิริพร ว***,VIP,Interstellar,5,D6,Normal,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK086,C086,วิภา ว***,VIP,Spider-Man,2,B6,VIP,259.0,Paid
BK087,C087,ธนกฤต ส***,General,Inception,4,A10,VIP,360.0,Paid
BK088,C088,สมชาย ว***,Student,Inception,4,A5,Deluxe,168.0,Paid
BK089,C089,นภา ม***,Student,Batman,3,D6,Honeymoon,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK090,C090,ศิริพร ส***,General,Avatar 3,1,A2,VIP,0.0,Cancelled
BK091,C091,กมล ส***,General,Interstellar,5,D6,Normal,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK092,C092,อนันต์ ว***,Student,Avatar 3,1,F3,Deluxe,160.0,Paid
BK093,C093,สมชาย เ***,General,Inception,4,B1,VIP,360.0,Paid
BK094,C094,อนันต์ ส***,Student,Avatar 3,1,F3,Normal,0.0,Rejected (ที่นั่ง F3 ถูกจองแล้ว (Double Booking))
BK095,C095,อนันต์ ส***,Student,Avatar 3,1,F9,Normal,128.0,Paid
BK096,C096,นภา ส***,VIP,Inception,4,F5,Normal,119.0,Paid
BK097,C097,กมล ร***,General,Batman,3,D1,VIP,390.0,Paid
BK098,C098,ศิริพร ใ***,VIP,Interstellar,5,E10,Honeymoon,189.0,Paid
BK099,C099,กิตติ ร***,VIP,Interstellar,5,B4,Honeymoon,0.0,Rejected (ที่นั่ง B4 ถูกจองแล้ว (Double Booking))
BK100,C100,สมชาย ใ***,General,Spider-Man,2,C3,Honeymoon,260.0,Paid
BK101,C101,ศิริพร เ***,Student,Avatar 3,1,F3,Deluxe,0.0,Rejected (ที่นั่ง F3 ถูกจองแล้ว (Double Booking))
BK102,C102,สมชาย ใ***,Student,Spider-Man,2,B9,VIP,296.0,Paid
BK103,C103,ณัฐพงษ์ ม***,Student,Spider-Man,2,C10,VIP,296.0,Paid
BK104,C104,อนันต์ ส***,Student,Inception,4,D8,VIP,0.0,Rejected (ที่นั่ง D8 ถูกจองแล้ว (Double Booking))
BK105,C105,วิภา เ***,Student,Interstellar,5,B7,Deluxe,184.0,Paid
BK106,C106,อนันต์ ร***,General,Spider-Man,2,C10,Normal,0.0,Rejected (ที่นั่ง C10 ถูกจองแล้ว (Double Booking))
BK107,C107,สมชาย ส***,VIP,Inception,4,F5,Normal,0.0,Rejected (ที่นั่ง F5 ถูกจองแล้ว (Double Booking))
BK108,C108,สมชาย ส***,Student,Batman,3,E1,Deluxe,192.0,Paid
BK109,C109,ชลธิชา ว***,VIP,Spider-Man,2,D3,Deluxe,154.0,Paid
BK110,C110,นภา ร***,Student,Inception,4,B3,VIP,288.0,Paid
BK111,C111,ศิริพร ม***,General,Batman,3,C9,Deluxe,240.0,Paid
BK112,C112,วิภา ร***,Student,Spider-Man,2,B5,VIP,0.0,Cancelled
BK113,C113,ศิริพร ว***,VIP,Inception,4,A10,Deluxe,0.0,Rejected (ที่นั่ง A10 ถูกจองแล้ว (Double Booking))
BK114,C114,นภา ใ***,General,Batman,3,C2,VIP,390.0,Paid
BK115,C115,ณัฐพงษ์ ว***,Student,Avatar 3,1,A7,Deluxe,160.0,Paid
BK116,C116,ณัฐพงษ์ ใ***,Student,Interstellar,5,C2,VIP,0.0,Rejected (ที่นั่ง C2 ถูกจองแล้ว (Double Booking))
BK117,C117,กมล ใ***,General,Inception,4,E6,Honeymoon,250.0,Paid
BK118,C118,วิภา เ***,VIP,Avatar 3,1,E10,Deluxe,140.0,Paid
BK119,C119,สมชาย ม***,General,Batman,3,F9,VIP,0.0,Rejected (ที่นั่ง F9 ถูกจองแล้ว (Double Booking))
BK120,C120,กมล ใ***,Student,Avatar 3,1,B2,Deluxe,0.0,Cancelled
BK121,C121,วิภา ร***,VIP,Batman,3,E4,Honeymoon,0.0,Cancelled
BK122,C122,ศิริพร ใ***,Student,Avatar 3,1,D2,Honeymoon,192.0,Paid
BK123,C123,กมล ม***,VIP,Spider-Man,2,D5,Honeymoon,182.0,Paid
BK124,C124,ชลธิชา ม***,VIP,Avatar 3,1,A1,VIP,245.0,Paid
BK125,C125,วิภา ใ***,VIP,Spider-Man,2,C8,Normal,126.0,Paid
BK126,C126,ณัฐพงษ์ ส***,Student,Batman,3,B2,Normal,160.0,Paid
BK127,C127,สมชาย ใ***,General,Avatar 3,1,C5,Normal,160.0,Paid
BK128,C128,วิภา เ***,General,Interstellar,5,B2,Deluxe,230.0,Paid
BK129,C129,ณัฐพงษ์ ร***,General,Avatar 3,1,C10,VIP,0.0,Rejected (ที่นั่ง C10 ถูกจองแล้ว (Double Booking))
BK130,C130,กมล ร***,VIP,Spider-Man,2,B4,Normal,126.0,Paid
